"Código","CPF","Nome Completo","Sexo","Fone","Estado Civil","Data de Nascimento","CEP","Endereço Residencial","Bairro","Cidade","Estado","Peso em KG","Altura em CM","Número do Cartão","Vencimento do Cartão","Bandeira","Email"
46870,979.717.752-10,Nicolas Almeida Araujo,Masculino,(16) 8678-6796,Solteiro,03/07/1972,14873-114,"Travessa Pau Brasil, 828",Planalto do Bosque,Jaboticabal,SP, 91.30 ,171,4916 **** **** 1329,Abr / 25,Visa,NicolasAlmeidaAraujo@armyspy.com
47358,941.179.528-54,Nicolash Almeida Alves,Masculino,(28) 7831-3959,Solteiro,17/06/1969,29314-070,"Rua Antônio Correia Cardoso, 514",Aeroporto,Cachoeiro de Itapemirim,ES, 79.80 ,187,4716 **** **** 0246,Nov / 23,Visa,NicolashAlmeidaAlves@rhyta.com
47892,413.472.197-06,Nicole Almeida Alves,Feminino,(11) 7364-7152,Casado,28/06/1968,08031-760,"Rua Benjamin Capusso, 520",Vila Curuçá,São Paulo,SP, 55.00 ,165,4929 **** **** 0032,Mai / 26,Visa,NicoleAlmeidaAlves@cuvox.de
48425,268.360.041-03,Otávio Almeida Alves,Masculino,(32) 5220-3275,Solteiro,05/10/1982,36204-492,"Rua Maria da Glória de Almeida, 1722",Guarani,Barbacena,MG, 101.20 ,188,5218 **** **** 7933,Jan / 26,MasterCard,OtavioAlmeidaAlves@jourrapide.com
48901,827.549.304-85,Paulo Almeida Alves,Masculino,(38) 2670-6719,Solteiro,08/03/1990,39402-258,"Rua Curitiba, 655",Santo Antônio,Montes Claros,MG, 108.20 ,174,5207 **** **** 5558,Nov / 25,MasterCard,PauloAlmeidaAlves@dayrep.com
49398,743.137.047-44,Pedro Almeida Alves,Masculino,(11) 9649-9330,Solteiro,17/04/1940,12903-720,"Rua Milton Antônio das Neves, 1755",Jardim Iguatemi,Bragança Paulista,SP, 97.40 ,171,4716 **** **** 2167,Fev / 25,Visa,PedroAlmeidaAlves@superrito.com
49911,488.954.884-07,Rafael Almeida Araujo,Masculino,(92) 2106-9162,Solteiro,22/12/1954,69086-003,"Rua Marginal C, 1587",São José Operário,Manaus,AM, 113.10 ,179,5158 **** **** 3768,Jan / 24,MasterCard,RafaelAlmeidaAraujo@jourrapide.com
50396,916.407.370-06,Rafaela Almeida Alves,Feminino,(21) 4652-4628,Solteiro,02/05/1995,20551-610,"Rua Otaviano Ladeira, 432",Vila Isabel,Rio de Janeiro,RJ, 51.60 ,156,5546 **** **** 0792,Abr / 24,MasterCard,RafaelaAlmeidaAlves@einrot.com
50923,132.376.591-34,Raissa Almeida Araujo,Feminino,(51) 3510-2652,Solteiro,09/10/1939,91350-210,"Praça Inspetor Irani Bertelli, 339",Vila Ipiranga,Porto Alegre,RS, 76.10 ,163,4485 **** **** 5015,Set / 22,Visa,RaissaAlmeidaAraujo@dayrep.com
51471,919.238.986-47,Rebeca Almeida Araujo,Feminino,(11) 5405-8523,Casado,13/04/1974,11081-200,"Estrada João Baptista, 247",Morro da Penha,Santos,SP, 100.00 ,162,4485 **** **** 8274,Mai / 23,Visa,RebecaAlmeidaAraujo@superrito.com
51988,700.974.909-46,Renan Almeida Alves,Masculino,(11) 8635-6256,Solteiro,17/12/1963,02260-100,"Travessa Jean Dromal, 397",Vila Constança,São Paulo,SP, 109.10 ,182,5372 **** **** 7252,Fev / 22,MasterCard,RenanAlmeidaAlves@superrito.com
52485,525.302.962-19,Rodrigo Almeida Alves,Masculino,(81) 2640-9959,Solteiro,31/07/1950,55038-775,"Rua Henrique Casé, 1191",Boa Vista,Caruaru,PE, 95.00 ,171,5475 **** **** 5544,Mar / 25,MasterCard,RodrigoAlmeidaAlves@dayrep.com
53018,453.574.738-54,Ryan Almeida Araujo,Masculino,(44) 9348-2447,Casado,02/07/1990,87303-280,"Rua Dozolina Rech Ferrari, 344",Jardim Ana Eliza,Campo Mourão,PR, 67.40 ,184,4539 **** **** 1726,Out / 24,Visa,RyanAlmeidaAraujo@gustr.com
53533,138.896.297-76,Samuel Almeida Alves,Masculino,(21) 3866-8747,Solteiro,12/06/1972,21615-020,"Rua Major Dreon, 490",Vila Militar,Rio de Janeiro,RJ, 97.40 ,170,5322 **** **** 1951,Jul / 23,MasterCard,SamuelAlmeidaAlves@jourrapide.com
54024,353.300.155-53,Sarah Almeida Alves,Feminino,(21) 7141-5832,Casado,12/10/1963,20250-070,"Rua Zamenhof, 793",Estácio,Rio de Janeiro,RJ, 66.00 ,170,4716 **** **** 4247,Jul / 26,Visa,SarahAlmeidaAlves@fleckens.hu
54519,686.615.209-75,Sofia Almeida Alves,Feminino,(31) 2944-8235,Casado,14/08/1985,32040-672,"Rua Robson Barros Coelho, 776",Perobas,Contagem,MG, 63.30 ,172,5256 **** **** 1632,Dez / 26,MasterCard,SofiaAlmeidaAlves@jourrapide.com
55025,286.217.796-25,Sophia Almeida Alves,Feminino,(19) 3923-7224,Casado,28/11/1987,13070-300,"Rua Doutor Cincinato Braga, 287",Vila Ferreira Jorge,Campinas,SP, 57.00 ,173,4556 **** **** 3200,Set / 26,Visa,SophiaAlmeidaAlves@jourrapide.com
55527,268.191.162-17,Tânia Almeida Alves,Feminino,(45) 3253-9606,Casado,08/07/1956,85807-590,"Rua Otelo Celestino de Castilhos, 994",Coqueiral,Cascavel,PR, 66.70 ,154,5145 **** **** 3457,Set / 22,MasterCard,TaniaAlmeidaAlves@dayrep.com
56033,910.614.540-02,Thaís Almeida Azevedo,Feminino,(31) 8456-7022,Casado,19/08/1976,31275-240,"Alameda das Cariotas, 1542",São Luiz,Belo Horizonte,MG, 57.90 ,159,5509 **** **** 3903,Mar / 26,MasterCard,ThaisAlmeidaAzevedo@teleworm.us
56560,520.526.391-10,Thiago Almeida Alves,Masculino,(55) 2206-9110,Solteiro,28/09/1994,97577-320,"Rua Eraldim Fontoura Cunha, 353",Fluminense,Santana do Livramento,RS, 61.90 ,178,4539 **** **** 0018,Mai / 26,Visa,ThiagoAlmeidaAlves@rhyta.com
57057,921.914.853-67,Tiago Almeida Alves,Masculino,(19) 6295-9784,Solteiro,02/01/1972,13015-121,"Rua Luzitana, 1728",Centro,Campinas,SP, 80.70 ,174,5583 **** **** 3747,Ago / 24,MasterCard,TiagoAlmeidaAlves@fleckens.hu
57558,506.609.739-28,Tomás Almeida Araujo,Masculino,(21) 2670-9123,Solteiro,04/06/1974,23064-330,"Rua El Shardi, 1753",Inhoaíba,Rio de Janeiro,RJ, 66.10 ,181,5422 **** **** 7994,Jun / 22,MasterCard,TomasAlmeidaAraujo@einrot.com
58022,853.836.057-46,Victor Almeida Alves,Masculino,(32) 3453-8409,Solteiro,15/07/1950,36202-772,"Rua Antônio Alves Teixeira, 1201",Santa Maria,Barbacena,MG, 80.00 ,185,5269 **** **** 5820,Jun / 24,MasterCard,VictorAlmeidaAlves@teleworm.us
58503,636.610.377-14,Vinicius Almeida Alves,Masculino,(24) 7115-6018,Solteiro,26/05/1954,27360-100,"Rua Antônio Ferreira Pinto Júnior, 682",Rialto,Barra Mansa,RJ, 105.70 ,168,4556 **** **** 3527,Mar / 26,Visa,ViniciusAlmeidaAlves@teleworm.us
58505,645.402.445-82,Vinícius Almeida Azevedo,Masculino,(45) 3811-9399,Solteiro,22/04/1939,85806-135,"Rua Cássia, 1655",Esmeralda,Cascavel,PR, 104.40 ,173,5129 **** **** 6832,Mai / 25,MasterCard,ViniciusAlmeidaAzevedo@superrito.com
59274,589.530.461-30,Vitor Almeida Alves,Masculino,(11) 7550-4824,Solteiro,07/03/1937,09861-740,"Rua Ignez de Menezes Marcandalli, 1972",Assunção,São Bernardo do Campo,SP, 82.90 ,184,4916 **** **** 0660,Jan / 25,Visa,VitorAlmeidaAlves@gustr.com
59276,678.773.142-64,Vitór Almeida Azevedo,Masculino,(44) 8943-7689,Solteiro,04/11/1945,87501-260,"Praça Santos Dumont, 1235",Zona I,Umuarama,PR, 74.60 ,164,4539 **** **** 1306,Jul / 26,Visa,VitorAlmeidaAzevedo@rhyta.com
59977,439.548.591-06,Vitória Almeida Araujo,Feminino,(11) 9974-5554,Solteiro,09/07/1929,02066-015,"Rua Octávio Ribeiro de Carvalho, 1458",Vila Guilherme,São Paulo,SP, 59.20 ,161,4716 **** **** 3030,Set / 25,Visa,VitoriaAlmeidaAraujo@armyspy.com
59978,748.254.538-72,Vitoria Almeida Azevedo,Feminino,(21) 9711-3749,Casado,24/12/1986,26033-150,"Rua Doutor Ivan Leal, 1681",São Luiz Gonzaga,Nova Iguaçu,RJ, 89.50 ,163,4485 **** **** 7919,Nov / 26,Visa,VitoriaAlmeidaAzevedo@fleckens.hu
60721,757.552.312-06,Yasmin Almeida Azevedo,Feminino,(17) 2008-6386,Casado,28/10/1958,15081-090,"Rua Genésio de Pace, 797",Residencial Cidade Jardim,São José do Rio Preto,SP, 70.50 ,172,5340 **** **** 3402,Mar / 24,MasterCard,YasminAlmeidaAzevedo@einrot.com
